time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
3.000,3,4,4,1039.320,173.790,0.000,0.623,0,-85.962,-75.847,-86.503,-66.993,-84.888,-89.733,-92.505,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,4,5,5,436.433,676.190,0.000,0.221,0,-81.565,-78.798,-72.827,-76.518,-67.063,-75.167,-84.320,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,5,6,5,787.674,963.474,0.000,0.582,0,-88.676,-85.197,-83.639,-74.126,-64.972,-81.232,-90.227,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,6,7,4,1214.336,804.922,0.000,0.639,0,-91.248,-86.305,-88.775,-69.037,-80.207,-88.484,-94.159,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,7,8,5,1005.965,1094.970,0.000,0.197,0,-91.581,-88.167,-87.652,-76.643,-74.285,-85.277,-92.973,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,8,9,5,1251.526,1375.597,0.000,0.115,0,-95.233,-92.443,-92.020,-83.587,-82.266,-89.472,-96.076,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,9,10,3,149.188,283.590,0.000,0.549,0,-66.587,-72.137,-63.387,-82.983,-81.421,-80.014,-78.921,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,10,11,2,985.013,-156.413,0.000,0.303,0,-85.064,-74.120,-87.859,-78.247,-88.801,-91.930,-93.017,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,11,12,6,144.852,1145.289,0.000,0.000,0,-87.450,-88.070,-78.365,-86.231,-69.509,-59.407,-83.609,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,12,13,4,989.658,198.600,0.000,0.623,0,-85.260,-74.710,-85.661,-65.606,-84.083,-89.052,-91.939,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
